myclothesid,userid,mycolor,mycategory,myimg,buydate
1,1,green,short_sleeved_shirt,test1,2021-12-08
2,1,green,long_sleeved_shirt,test2,2018-10-09
3,1,green,long_sleeved_shirt,test3,2018-09-07
4,1,red,long_sleeved_shirt,test4,2021-03-25
5,1,blue,long_sleeved_shirt,test5,2019-08-17
6,1,red,long_sleeved_shirt,test6,2020-11-07
7,1,white,long_sleeved_shirt,test7,2020-04-05
8,1,white,long_sleeved_shirt,test8,2019-11-30
9,1,white,etc,test9,2020-05-26
10,1,white,etc,test10,2019-05-22
11,1,black,shorts,test11,2020-03-27
12,1,black,shorts,test12,2020-08-23
13,1,white,skirt,test13,2018-11-30
14,1,white,skirt,test14,2019-11-17
15,1,beige,short_sleeved_dress,test15,2020-11-06
16,1,green,vest_dress,test16,2021-09-06
17,1,black,short_sleeved_dress,test17,2018-11-06
18,1,black,vest_dress,test18,2020-05-01
19,1,black,vest_dress,test19,2018-04-27
20,1,black,sling_dress,test20,2021-12-28
21,1,blue,short_sleeved_dress,test21,2020-12-31
22,1,blue,sling_dress,test22,2018-01-02
23,1,white,long_sleeved_shirt,test23,2021-11-07
24,1,white,long_sleeved_dress,test24,2018-04-01
25,1,white,vest_dress,test25,2020-12-25
26,1,white,short_sleeved_dress,test26,2018-08-01
27,1,white,etc,test27,2020-08-26
28,1,white,short_sleeved_dress,test28,2021-07-03
29,1,white,vest_dress,test29,2018-01-08
30,1,white,etc,test30,2020-03-27
31,1,white,short_sleeved_dress,test31,2020-01-06
32,1,white,short_sleeved_dress,test32,2021-10-05
33,1,green,skirt,test33,2018-07-29
34,1,black,long_sleeved_shirt,test34,2021-08-21
35,1,black,vest_dress,test35,2018-06-29
36,1,gray,skirt,test36,2020-08-29
37,1,black,skirt,test37,2019-08-22
38,1,beige,long_sleeved_shirt,test38,2020-08-23
39,1,white,shorts,test39,2020-06-09
40,1,black,trousers,test40,2020-10-03
41,1,black,skirt,test41,2018-02-04
42,1,red,short_sleeved_shirt,test42,2020-04-29
43,1,black,short_sleeved_dress,test43,2018-05-11
44,1,beige,short_sleeved_shirt,test44,2021-02-25
45,1,pattren,short_sleeved_shirt,test45,2018-07-02
46,1,black,short_sleeved_shirt,test46,2021-05-20
47,1,green,short_sleeved_shirt,test47,2021-05-25
48,1,white,short_sleeved_shirt,test48,2021-05-08
49,1,white,short_sleeved_shirt,test49,2021-07-22
50,1,pattren,short_sleeved_shirt,test50,2019-10-12
