,clothescode,color,category,img
0,CODE1,red,long_sleeve_top,img1
1,CODE2,blue,vest,img2
2,CODE3,blue,long_sleeve_top,img3
3,CODE4,white,short_sleeve_top,img4
4,CODE5,blue,long_sleeve_top,img5
5,CODE6,red,shirts,img6
6,CODE7,blue,short_sleeve_dress,img7
7,CODE8,blue,short_sleeve_outer,img8
8,CODE9,red,shirts,img9
9,CODE10,blue,sling_dress,img10
10,CODE11,red,sling_dress,img11
11,CODE12,blue,short_sleeve_top,img12
12,CODE13,white,skirt,img13
13,CODE14,white,sling,img14
14,CODE15,yellow,skirt,img15
15,CODE16,black,skirt,img16
16,CODE17,red,long_sleeve_dress,img17
17,CODE18,red,trousers,img18
18,CODE19,blue,short_sleeve_dress,img19
19,CODE20,white,long_sleeve_dress,img20
20,CODE21,yellow,vest,img21
21,CODE22,white,sling_dress,img22
22,CODE23,red,short_sleeve_outer,img23
23,CODE24,white,short_sleeve_dress,img24
24,CODE25,blue,trousers,img25
25,CODE26,red,sling_dress,img26
26,CODE27,white,long_sleeve_outer,img27
27,CODE28,red,short_sleeve_dress,img28
28,CODE29,red,long_sleeve_dress,img29
29,CODE30,red,long_sleeve_outer,img30
30,CODE31,red,sling_dress,img31
31,CODE32,white,vest_dress,img32
32,CODE33,red,long_sleeve_dress,img33
33,CODE34,yellow,sling,img34
34,CODE35,red,long_sleeve_top,img35
35,CODE36,blue,sling_dress,img36
36,CODE37,black,sling,img37
37,CODE38,black,sling_dress,img38
38,CODE39,blue,shirts,img39
39,CODE40,black,long_sleeve_dress,img40
40,CODE41,blue,long_sleeve_dress,img41
41,CODE42,blue,sling_dress,img42
42,CODE43,black,long_sleeve_outer,img43
43,CODE44,red,vest,img44
44,CODE45,black,long_sleeve_outer,img45
45,CODE46,yellow,trousers,img46
46,CODE47,white,skirt,img47
47,CODE48,yellow,long_sleeve_top,img48
48,CODE49,white,vest,img49
49,CODE50,white,short_sleeve_outer,img50
50,CODE51,blue,long_sleeve_outer,img51
51,CODE52,black,short_sleeve_outer,img52
52,CODE53,red,skirt,img53
53,CODE54,yellow,shirts,img54
54,CODE55,red,sling_dress,img55
55,CODE56,yellow,skirt,img56
56,CODE57,red,sling,img57
57,CODE58,red,shirts,img58
58,CODE59,white,short_sleeve_top,img59
59,CODE60,yellow,skirt,img60
60,CODE61,black,sling_dress,img61
61,CODE62,blue,short_sleeve_outer,img62
62,CODE63,blue,vest,img63
63,CODE64,blue,long_sleeve_dress,img64
64,CODE65,red,shirts,img65
65,CODE66,red,long_sleeve_top,img66
66,CODE67,blue,sling_dress,img67
67,CODE68,black,skirt,img68
68,CODE69,black,trousers,img69
69,CODE70,white,long_sleeve_dress,img70
70,CODE71,black,long_sleeve_outer,img71
71,CODE72,black,sling,img72
72,CODE73,blue,trousers,img73
73,CODE74,black,short_sleeve_top,img74
74,CODE75,red,short_sleeve_outer,img75
75,CODE76,red,short_sleeve_dress,img76
76,CODE77,white,long_sleeve_dress,img77
77,CODE78,blue,long_sleeve_top,img78
78,CODE79,black,shirts,img79
79,CODE80,red,short_sleeve_top,img80
80,CODE81,yellow,long_sleeve_dress,img81
81,CODE82,yellow,sling,img82
82,CODE83,yellow,short_sleeve_dress,img83
83,CODE84,black,vest,img84
84,CODE85,red,sling,img85
85,CODE86,black,sling_dress,img86
86,CODE87,white,sling,img87
87,CODE88,yellow,long_sleeve_top,img88
88,CODE89,blue,short_sleeve_top,img89
89,CODE90,white,long_sleeve_dress,img90
90,CODE91,yellow,shirts,img91
91,CODE92,yellow,long_sleeve_outer,img92
92,CODE93,red,shirts,img93
93,CODE94,white,sling_dress,img94
94,CODE95,black,skirt,img95
95,CODE96,white,short_sleeve_dress,img96
96,CODE97,black,short_sleeve_top,img97
97,CODE98,white,skirt,img98
98,CODE99,black,vest_dress,img99
99,CODE100,white,shirts,img100
