,TodayID,ID,today,weather,temp,dust
0,Today1,dummy92,2022-06-11 10:00:00,cloud,16.0,140.2
1,Today2,dummy100,2022-06-10 23:00:00,rain,27.5,121.5
2,Today3,dummy50,2022-06-08 02:00:00,cloud,17.6,121.6
3,Today4,dummy49,2022-06-11 09:00:00,cloud,24.7,114.9
4,Today5,dummy49,2022-06-11 16:00:00,cloud,26.0,51.6
5,Today6,dummy68,2022-06-09 09:00:00,sun,19.2,126.1
6,Today7,dummy40,2022-06-08 21:00:00,rain,21.6,23.0
7,Today8,dummy10,2022-06-10 03:00:00,cloud,21.0,5.4
8,Today9,dummy5,2022-06-11 15:00:00,fog,24.3,117.6
9,Today10,dummy33,2022-06-10 06:00:00,cloud,16.7,42.0
10,Today11,dummy22,2022-06-09 00:00:00,sun,21.2,86.5
11,Today12,dummy68,2022-06-09 05:00:00,cloud,18.4,54.0
12,Today13,dummy79,2022-06-10 13:00:00,cloud,25.3,136.1
13,Today14,dummy78,2022-06-09 10:00:00,fog,27.1,57.0
14,Today15,dummy81,2022-06-10 17:00:00,sun,23.7,86.4
15,Today16,dummy10,2022-06-10 09:00:00,sun,27.0,104.0
16,Today17,dummy20,2022-06-10 19:00:00,fog,22.4,52.0
17,Today18,dummy17,2022-06-08 22:00:00,sun,27.8,77.2
18,Today19,dummy50,2022-06-09 00:00:00,rain,22.9,31.8
19,Today20,dummy14,2022-06-10 00:00:00,rain,29.9,118.0
20,Today21,dummy24,2022-06-11 18:00:00,rain,27.3,54.1
21,Today22,dummy66,2022-06-10 22:00:00,sun,21.0,81.0
22,Today23,dummy53,2022-06-11 13:00:00,sun,17.2,131.7
23,Today24,dummy76,2022-06-11 07:00:00,sun,25.6,113.3
24,Today25,dummy32,2022-06-09 12:00:00,cloud,22.3,54.4
25,Today26,dummy61,2022-06-10 22:00:00,fog,22.8,124.9
26,Today27,dummy37,2022-06-09 15:00:00,cloud,19.3,19.4
27,Today28,dummy41,2022-06-11 22:00:00,sun,29.3,111.0
28,Today29,dummy94,2022-06-09 18:00:00,rain,24.2,44.0
29,Today30,dummy48,2022-06-11 21:00:00,sun,15.1,48.2
30,Today31,dummy3,2022-06-10 22:00:00,rain,18.3,38.3
31,Today32,dummy70,2022-06-08 09:00:00,sun,15.2,148.6
32,Today33,dummy8,2022-06-08 01:00:00,sun,17.7,107.7
33,Today34,dummy79,2022-06-09 10:00:00,fog,28.6,87.1
34,Today35,dummy55,2022-06-11 00:00:00,sun,23.3,90.0
35,Today36,dummy79,2022-06-10 23:00:00,fog,24.3,89.7
36,Today37,dummy52,2022-06-11 20:00:00,rain,29.0,61.8
37,Today38,dummy18,2022-06-11 06:00:00,sun,23.6,52.2
38,Today39,dummy17,2022-06-10 15:00:00,rain,23.4,128.8
39,Today40,dummy83,2022-06-11 00:00:00,rain,20.2,5.4
40,Today41,dummy92,2022-06-09 00:00:00,rain,24.1,145.8
41,Today42,dummy49,2022-06-08 08:00:00,fog,20.2,42.6
42,Today43,dummy74,2022-06-09 04:00:00,fog,20.8,67.5
43,Today44,dummy75,2022-06-09 17:00:00,cloud,18.6,122.0
44,Today45,dummy55,2022-06-12 00:00:00,fog,15.8,113.5
45,Today46,dummy66,2022-06-08 14:00:00,fog,24.1,65.9
46,Today47,dummy87,2022-06-09 01:00:00,fog,20.2,136.9
47,Today48,dummy78,2022-06-09 19:00:00,cloud,22.5,103.7
48,Today49,dummy64,2022-06-11 18:00:00,fog,22.1,121.8
49,Today50,dummy26,2022-06-12 00:00:00,cloud,18.7,39.2
50,Today51,dummy37,2022-06-10 20:00:00,rain,25.9,112.4
51,Today52,dummy5,2022-06-09 08:00:00,sun,29.2,11.3
52,Today53,dummy89,2022-06-09 17:00:00,sun,17.3,18.7
53,Today54,dummy100,2022-06-09 03:00:00,sun,27.8,30.6
54,Today55,dummy21,2022-06-10 10:00:00,cloud,17.5,127.0
55,Today56,dummy29,2022-06-08 11:00:00,cloud,22.7,118.4
56,Today57,dummy22,2022-06-11 20:00:00,sun,29.3,140.3
57,Today58,dummy88,2022-06-10 02:00:00,fog,26.1,146.0
58,Today59,dummy67,2022-06-11 09:00:00,fog,24.0,33.6
59,Today60,dummy1,2022-06-08 00:00:00,rain,28.7,67.8
60,Today61,dummy90,2022-06-11 01:00:00,fog,27.0,23.3
61,Today62,dummy51,2022-06-08 00:00:00,rain,19.8,38.5
62,Today63,dummy85,2022-06-08 17:00:00,fog,21.7,144.7
63,Today64,dummy77,2022-06-09 20:00:00,sun,27.5,26.3
64,Today65,dummy80,2022-06-09 11:00:00,fog,20.5,117.4
65,Today66,dummy88,2022-06-10 11:00:00,sun,29.3,103.4
66,Today67,dummy83,2022-06-09 07:00:00,sun,16.7,118.6
67,Today68,dummy100,2022-06-10 21:00:00,sun,17.7,9.2
68,Today69,dummy93,2022-06-09 12:00:00,sun,21.5,66.7
69,Today70,dummy12,2022-06-11 07:00:00,rain,19.6,48.2
70,Today71,dummy57,2022-06-12 00:00:00,rain,20.7,91.4
71,Today72,dummy83,2022-06-11 16:00:00,fog,16.3,126.3
72,Today73,dummy29,2022-06-10 15:00:00,sun,27.6,10.7
73,Today74,dummy93,2022-06-08 19:00:00,rain,21.4,9.1
74,Today75,dummy30,2022-06-11 22:00:00,fog,22.4,16.4
75,Today76,dummy18,2022-06-08 11:00:00,rain,25.0,12.1
76,Today77,dummy59,2022-06-10 05:00:00,sun,19.0,29.0
77,Today78,dummy56,2022-06-08 20:00:00,sun,28.2,1.3
78,Today79,dummy67,2022-06-10 03:00:00,rain,20.4,82.1
79,Today80,dummy65,2022-06-11 23:00:00,cloud,18.8,141.2
80,Today81,dummy78,2022-06-08 22:00:00,cloud,21.6,145.1
81,Today82,dummy50,2022-06-09 21:00:00,cloud,16.7,93.0
82,Today83,dummy12,2022-06-08 02:00:00,rain,19.0,41.8
83,Today84,dummy33,2022-06-10 06:00:00,cloud,28.5,27.8
84,Today85,dummy20,2022-06-09 09:00:00,fog,21.3,132.5
85,Today86,dummy62,2022-06-08 05:00:00,cloud,17.9,86.7
86,Today87,dummy48,2022-06-11 21:00:00,cloud,19.1,37.4
87,Today88,dummy97,2022-06-11 19:00:00,sun,18.1,46.0
88,Today89,dummy32,2022-06-11 13:00:00,cloud,28.2,96.6
89,Today90,dummy84,2022-06-08 06:00:00,fog,25.7,63.5
90,Today91,dummy50,2022-06-10 00:00:00,cloud,19.8,3.0
91,Today92,dummy68,2022-06-11 22:00:00,cloud,30.0,40.7
92,Today93,dummy20,2022-06-09 10:00:00,rain,21.9,141.8
93,Today94,dummy17,2022-06-09 17:00:00,rain,15.1,143.6
94,Today95,dummy94,2022-06-10 02:00:00,fog,17.9,29.8
95,Today96,dummy46,2022-06-10 14:00:00,fog,26.2,102.9
96,Today97,dummy64,2022-06-08 04:00:00,rain,28.5,129.0
97,Today98,dummy37,2022-06-08 07:00:00,sun,29.0,104.4
98,Today99,dummy64,2022-06-09 22:00:00,cloud,19.8,37.7
99,Today100,dummy53,2022-06-08 18:00:00,fog,22.5,30.2
100,Today101,dummy10,2022-06-08 20:00:00,cloud,29.0,120.8
101,Today102,dummy67,2022-06-11 08:00:00,rain,17.5,50.4
102,Today103,dummy96,2022-06-11 21:00:00,sun,22.2,91.0
103,Today104,dummy64,2022-06-10 04:00:00,sun,24.3,21.6
104,Today105,dummy20,2022-06-08 04:00:00,fog,15.7,103.0
105,Today106,dummy23,2022-06-10 14:00:00,rain,22.2,0.8
106,Today107,dummy56,2022-06-09 12:00:00,fog,16.4,104.8
107,Today108,dummy98,2022-06-10 02:00:00,sun,25.8,106.3
108,Today109,dummy34,2022-06-09 09:00:00,fog,27.1,16.3
109,Today110,dummy82,2022-06-11 09:00:00,sun,27.9,5.8
110,Today111,dummy51,2022-06-08 16:00:00,sun,21.9,91.5
111,Today112,dummy31,2022-06-11 09:00:00,sun,22.4,147.4
112,Today113,dummy11,2022-06-08 17:00:00,cloud,17.9,148.4
