,todayid,id,time,temp,hum,dust
0,Today1,86,2022-06-10 01:00:00,25.1,54.5,141.6
1,Today2,73,2022-06-09 00:00:00,25.7,63.5,105.8
2,Today3,59,2022-06-11 17:00:00,25.0,20.6,134.9
3,Today4,50,2022-06-10 18:00:00,16.3,49.3,142.0
4,Today5,36,2022-06-09 21:00:00,25.1,10.5,35.0
5,Today6,23,2022-06-08 03:00:00,15.2,63.1,45.3
6,Today7,83,2022-06-08 16:00:00,28.0,78.4,109.7
7,Today8,45,2022-06-08 01:00:00,24.5,37.2,32.5
8,Today9,58,2022-06-09 13:00:00,22.5,40.8,57.2
9,Today10,71,2022-06-09 14:00:00,16.1,41.1,25.1
10,Today11,65,2022-06-11 07:00:00,29.5,65.7,127.2
11,Today12,76,2022-06-08 09:00:00,19.0,50.1,15.3
12,Today13,21,2022-06-09 07:00:00,16.6,22.0,105.4
13,Today14,59,2022-06-11 08:00:00,24.3,70.2,10.7
14,Today15,18,2022-06-11 06:00:00,21.5,13.9,89.6
15,Today16,38,2022-06-11 04:00:00,18.7,28.9,104.2
16,Today17,12,2022-06-10 14:00:00,20.1,69.0,148.4
17,Today18,59,2022-06-10 00:00:00,28.7,54.2,104.3
18,Today19,56,2022-06-10 15:00:00,20.6,27.9,120.3
19,Today20,5,2022-06-10 03:00:00,23.0,35.2,86.8
20,Today21,29,2022-06-09 11:00:00,29.1,59.8,88.4
21,Today22,67,2022-06-10 09:00:00,19.4,56.4,129.6
22,Today23,35,2022-06-11 14:00:00,23.7,35.0,17.3
23,Today24,40,2022-06-10 03:00:00,17.8,48.5,34.5
24,Today25,79,2022-06-08 13:00:00,19.6,45.9,66.7
25,Today26,25,2022-06-11 01:00:00,20.6,65.1,70.7
26,Today27,72,2022-06-11 02:00:00,27.9,40.4,17.2
27,Today28,10,2022-06-10 02:00:00,26.5,10.2,83.1
28,Today29,17,2022-06-09 06:00:00,19.5,51.2,27.0
29,Today30,27,2022-06-11 07:00:00,17.6,30.3,34.5
30,Today31,71,2022-06-10 06:00:00,29.7,76.3,25.5
31,Today32,90,2022-06-08 02:00:00,19.3,76.7,128.1
32,Today33,94,2022-06-11 12:00:00,20.6,53.6,18.5
33,Today34,83,2022-06-11 04:00:00,23.8,31.4,149.9
34,Today35,83,2022-06-11 08:00:00,21.6,68.3,44.1
35,Today36,77,2022-06-11 15:00:00,26.2,48.6,120.0
36,Today37,21,2022-06-10 06:00:00,26.0,24.2,115.2
37,Today38,70,2022-06-08 13:00:00,19.4,31.4,136.2
38,Today39,79,2022-06-11 18:00:00,20.8,19.0,53.0
