appname,user,share
지그재그,951826,37.38
에이블리,891754,35.02
브랜디 ,508608,19.97
무신사,415246,16.31
멜리즈 ,187892,7.38
퀸잇 ,156481,6.15
29CM ,143840,5.65
W컨셉 ,137117,5.38
포스티 ,112362,4.41
발란 ,108019,4.24
하이버 ,96800,3.8
스타일쉐어 ,90863,3.57
KREAM (크림),90080,3.54
트렌비 ,85623,3.36
탑텐몰,66420,2.61
이랜드몰 – 육아/리빙/패션라이프 토탈 쇼핑앱,66219,2.6
보리보리 ,62972,2.47
핫핑,59863,2.35
Zara,57529,2.26
LFmall ,57153,2.24
아몬즈 ,55094,2.16
UNIQLO KR,51750,2.03
SSF SHOP ,48520,1.91
서울스토어,45351,1.78
리리앤코,44885,1.76
하프클럽 ,42303,1.66
공구우먼,41241,1.62
머스트잇(MUST IT) ,40280,1.58
코오롱몰,35973,1.41
패션 by Kakao,35355,1.39
ROMISTORY,34280,1.35
아트닷컴 A,33511,1.32
메이블루 MAYBLUE,33161,1.3
육육걸즈,33118,1.3
제이스타일 JSTYLE ,31886,1.25
착한구두,31769,1.25
룩핀 ,31540,1.24
H&M ,27297,1.07
S.I.VILLAGE,25513,1
무무즈 ,25081,0.98
솔드아웃 ,23908,0.94
플레어 ,23776,0.93
스파오 공식몰,21833,0.86
H패션몰,20721,0.81
아뜨랑스,20485,0.8
온더룩 ,19852,0.78
신상마켓 ,19345,0.76
난닝구,13739,0.54
마리앙플러스,13111,0.51
캔마트,13031,0.51
키디키디 ,12886,0.51
나크21 ,12613,0.5
리린 ,11567,0.45
안다르 ,10698,0.42
유니프랜드 ,10698,0.42
