"품목별(1)",품목별(2),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"품목별(1)",품목별(2),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전년동월대비 매출증감률 (%)
"총계",소계,5.3,6.5,9.5,8.9,-0.3,1.1,-0.7,-1.2,3.3,1.4,1.3,-0.1,-9.8,24.1
"비식품",소계,5.9,6.1,9.1,9.2,-1.3,0.5,-1.1,-1.6,2.8,1.5,1.2,1.5,-8.4,24.9
"비식품",잡화,13.9,11.4,8.0,7.2,-3.1,-1.5,-2.2,-3.1,1.6,-5.5,-5.9,-4.0,-26.7,5.3
"비식품",여성정장,0.2,0.3,6.2,1.7,-6.2,-5.0,-2.9,-3.0,1.9,1.7,-0.3,-6.0,-26.1,13.2
"비식품",여성캐주얼,0.6,4.7,9.3,8.3,-2.1,-0.8,-2.7,-3.8,1.5,-1.1,-4.0,-11.1,-32.0,14.2
"비식품",남성의류,-3.6,-1.2,5.4,5.6,-5.3,-5.4,-4.7,-6.0,-0.4,-2.3,0.1,-3.5,-19.5,17.3
"비식품",아동/스포츠,5.6,4.6,13.8,12.4,5.1,4.8,-0.7,-3.0,0.9,3.5,-1.6,-5.8,-17.7,31.9
"비식품",가정용품,-0.8,4.5,9.3,10.5,-1.2,7.7,2.2,4.9,4.9,9.9,6.7,6.9,10.6,22.3
"비식품",해외유명브랜드,28.4,15.7,12.4,19.8,3.1,4.4,3.7,3.3,8.7,5.4,10.5,18.5,15.1,37.9
"식품",소계,8.2,8.3,9.2,7.5,2.7,5.2,2.1,0.7,5.5,0.7,1.6,-4.1,-17.1,13.2
