순위,앱명,내 앱 중복사용자 수,내 앱 중복사용률
1,지그재그 - 내 맘대로 쇼핑앱,"951,826",37.38%
2,에이블리 - 3천만의 AI 쇼핑메이트,"891,754",35.02%
3,브랜디 - 여성 패션 쇼핑앱,"508,608",19.97%
4,온라인 패션 스토어 무신사,"415,246",16.31%
5,멜리즈 - 브랜드 패션 가격비교,"187,892",7.38%
6,퀸잇 - 40대가 주인공인 패션앱,"156,481",6.15%
7,29CM - 감도 깊은 취향 셀렉트샵,"143,840",5.65%
8,W컨셉 - 온라인 패션 플랫폼,"137,117",5.38%
9,포스티 - 백화점 브랜드 패션 쇼핑,"112,362",4.41%
10,발란 - 참 쉬운 럭셔리 쇼핑 앱,"108,019",4.24%
11,하이버 - 국내 최초 남자쇼핑앱,"96,800",3.80%
12,스타일쉐어 - 스쉐롭게,"90,863",3.57%
13,KREAM (크림),"90,080",3.54%
14,트렌비 - 전세계 명품 쇼핑 플랫폼,"85,623",3.36%
15,탑텐몰,"66,420",2.61%
16,이랜드몰 – 육아/리빙/패션라이프 토탈 쇼핑앱,"66,219",2.60%
17,보리보리 - 엄마의 마음을 입히는 착한가게,"62,972",2.47%
18,핫핑,"59,863",2.35%
19,Zara,"57,529",2.26%
20,LFmall - 프리미엄 라이프스타일몰,"57,153",2.24%
21,아몬즈 - 빛나는 나를 위한 주얼리 쇼핑앱,"55,094",2.16%
22,UNIQLO KR,"51,750",2.03%
23,SSF SHOP - 삼성물산 패션 공식(온라인)몰,"48,520",1.91%
24,서울스토어,"45,351",1.78%
25,리리앤코,"44,885",1.76%
26,하프클럽 - 브랜드 패션 프리미엄 아울렛,"42,303",1.66%
27,"공구우먼-빅사이즈 여성의류 쇼핑몰,여성빅사이즈","41,241",1.62%
28,머스트잇(MUST IT) - 온라인 명품 플랫폼,"40,280",1.58%
29,코오롱몰,"35,973",1.41%
30,패션 by Kakao,"35,355",1.39%
31,ROMISTORY,"34,280",1.35%
32,아트닷컴 A-RT.COM - ABC마트의 새로운 통합 사이트,"33,511",1.32%
33,메이블루 MAYBLUE,"33,161",1.30%
34,육육걸즈,"33,118",1.30%
35,제이스타일 JSTYLE - 로맨틱 빅사이즈 여성의류패션,"31,886",1.25%
36,착한구두,"31,769",1.25%
37,룩핀 - 국내 최초 남성 패션앱,"31,540",1.24%
38,H&M - we love fashion,"27,297",1.07%
39,S.I.VILLAGE,"25,513",1.00%
40,"무무즈 - 0-10세 예쁜것만 모아보기, 패밀리 라이프스타일편집샵 무무즈","25,081",0.98%
41,솔드아웃 - soldout,"23,908",0.94%
42,플레어 - 30대 패션쇼핑앱,"23,776",0.93%
43,스파오 공식몰,"21,833",0.86%
44,H패션몰,"20,721",0.81%
45,아뜨랑스,"20,485",0.80%
46,온더룩 - 패션 검색 앱,"19,852",0.78%
47,신상마켓 - 동대문 의류 도매시장,"19,345",0.76%
48,난닝구,"13,739",0.54%
49,마리앙플러스,"13,111",0.51%
50,캔마트,"13,031",0.51%
51,키디키디 - 요즘 엄마들 원픽 키즈 쇼핑앱,"12,886",0.51%
52,나크21 - NAK21,"12,613",0.50%
53,리린 - leelin,"11,567",0.45%
54,안다르 - ANDAR,"10,698",0.42%
55,유니프랜드 - UniFriend,"10,698",0.42%
