상품군별,운영형태별,2017,2018,2019,2020,2021,단위:백만원
의복,계,11875368,13198349,14746241,14892250,16642832,
의복,Online몰,8745589,9437804,9856274,9349393,10331283,
의복,On/Offline몰,3129778,3760542,4889969,5542857,6311547,
신발,계,1714217,1886640,2420532,2566775,2883271,
신발,Online몰,1200331,1279860,1403540,1400179,1464098,
신발,On/Offline몰,513888,606780,1016993,1166593,1419173,
가방,계,1924482,2227209,2672587,2718082,3241765,
가방,Online몰,1316113,1520977,1804858,1985290,2474922,
가방,On/Offline몰,608370,706233,867730,732792,766843,
패션용품 및 액세서리,계,2028424,2336848,2571959,2214371,2429463,
패션용품 및 액세서리,Online몰,1188288,1317899,1360648,1357226,1494404,
패션용품 및 액세서리,On/Offline몰,840134,1018952,1211310,857144,935059,
