,myclothesid,userid,mycolor,mycategory,myimg,buydate
0,1,65,white,short_sleeve_outer,img1,2021-12-08 0:00
1,2,16,red,skirt,img2,2018-10-09 0:00
2,3,18,red,vest_dress,img3,2018-09-07 0:00
3,4,24,blue,vest,img4,2021-03-25 0:00
4,5,13,pattern,long_sleeve_dress,img5,2019-08-17 0:00
5,6,62,pattern,short_sleeve_dress,img6,2020-11-07 0:00
6,7,64,blue,long_sleeve_outer,img7,2020-04-05 0:00
7,8,62,pattern,long_sleeve_dress,img8,2019-11-30 0:00
8,9,24,black,short_sleeve_dress,img9,2020-05-26 0:00
9,10,86,pattern,long_sleeve_outer,img10,2019-05-22 0:00
10,11,66,blue,short_sleeve_outer,img11,2020-03-27 0:00
11,12,80,blue,skirt,img12,2020-08-23 0:00
12,13,50,blue,long_sleeve_outer,img13,2018-11-30 0:00
13,14,29,white,short_sleeve_dress,img14,2019-11-17 0:00
14,15,58,red,skirt,img15,2020-11-06 0:00
15,16,52,white,trousers,img16,2021-09-06 0:00
16,17,9,red,vest_dress,img17,2018-11-06 0:00
17,18,82,white,shorts,img18,2020-05-01 0:00
18,19,14,pattern,vest_dress,img19,2018-04-27 0:00
19,20,96,blue,vest,img20,2021-12-28 0:00
20,21,37,pattern,short_sleeve_dress,img21,2020-12-31 0:00
21,22,61,red,vest,img22,2018-01-02 0:00
22,23,34,pattern,short_sleeve_outer,img23,2021-11-07 0:00
23,24,31,red,sling,img24,2018-04-01 0:00
24,25,18,black,long_sleeve_top,img25,2020-12-25 0:00
25,26,73,red,sling,img26,2018-08-01 0:00
26,27,18,white,sling,img27,2020-08-26 0:00
27,28,49,white,vest,img28,2021-07-03 0:00
28,29,87,pattern,sling,img29,2018-01-08 0:00
29,30,94,red,shorts,img30,2020-03-27 0:00
30,31,9,blue,vest,img31,2020-01-06 0:00
31,32,24,blue,skirt,img32,2021-10-05 0:00
32,33,73,pattern,short_sleeve_outer,img33,2018-07-29 0:00
33,34,76,white,trousers,img34,2021-08-21 0:00
34,35,79,blue,vest,img35,2018-06-29 0:00
35,36,11,pattern,short_sleeve_outer,img36,2020-08-29 0:00
36,37,69,white,trousers,img37,2019-08-22 0:00
37,38,49,white,short_sleeve_dress,img38,2020-08-23 0:00
38,39,2,blue,short_sleeve_top,img39,2020-06-09 0:00
39,40,24,black,skirt,img40,2020-10-03 0:00
40,41,54,blue,short_sleeve_dress,img41,2018-02-04 0:00
41,42,91,white,vest_dress,img42,2020-04-29 0:00
42,43,17,blue,sling_dress,img43,2018-05-11 0:00
43,44,63,black,long_sleeve_top,img44,2021-02-25 0:00
44,45,52,blue,vest,img45,2018-07-02 0:00
45,46,37,white,short_sleeve_outer,img46,2021-05-20 0:00
46,47,13,white,long_sleeve_top,img47,2021-05-25 0:00
47,48,13,white,sling,img48,2021-05-08 0:00
48,49,4,black,vest_dress,img49,2021-07-22 0:00
49,50,60,blue,trousers,img50,2019-10-12 0:00
50,51,28,black,vest_dress,img51,2021-03-25 0:00
51,52,92,white,long_sleeve_top,img52,2021-12-05 0:00
52,53,97,blue,short_sleeve_top,img53,2019-12-29 0:00
53,54,39,red,sling,img54,2021-05-03 0:00
54,55,43,white,shorts,img55,2021-10-18 0:00
55,56,2,white,long_sleeve_top,img56,2021-02-17 0:00
56,57,46,black,vest_dress,img57,2021-05-25 0:00
57,58,38,pattern,shorts,img58,2020-03-24 0:00
58,59,12,blue,short_sleeve_outer,img59,2020-09-16 0:00
59,60,69,blue,sling,img60,2019-05-08 0:00
60,61,28,red,vest,img61,2020-10-17 0:00
61,62,77,red,shorts,img62,2018-03-31 0:00
62,63,97,blue,vest_dress,img63,2019-05-09 0:00
63,64,66,black,shorts,img64,2019-03-28 0:00
64,65,76,blue,trousers,img65,2018-09-24 0:00
65,66,74,white,short_sleeve_outer,img66,2020-02-24 0:00
66,67,15,white,long_sleeve_dress,img67,2021-11-12 0:00
67,68,35,blue,trousers,img68,2018-05-07 0:00
68,69,58,blue,sling_dress,img69,2019-01-24 0:00
69,70,52,red,short_sleeve_outer,img70,2018-01-20 0:00
70,71,32,black,shorts,img71,2019-04-26 0:00
71,72,65,blue,skirt,img72,2018-01-09 0:00
72,73,12,blue,short_sleeve_top,img73,2020-04-24 0:00
73,74,45,blue,short_sleeve_dress,img74,2021-06-21 0:00
74,75,19,black,long_sleeve_outer,img75,2018-12-28 0:00
75,76,53,blue,short_sleeve_outer,img76,2019-03-24 0:00
76,77,82,pattern,long_sleeve_dress,img77,2019-04-25 0:00
77,78,87,blue,long_sleeve_dress,img78,2019-07-05 0:00
78,79,40,red,short_sleeve_top,img79,2019-07-10 0:00
79,80,98,white,short_sleeve_outer,img80,2019-08-10 0:00
80,81,39,blue,long_sleeve_dress,img81,2020-02-02 0:00
81,82,19,blue,vest_dress,img82,2021-06-20 0:00
82,83,48,black,skirt,img83,2018-03-20 0:00
83,84,74,black,shorts,img84,2018-06-30 0:00
84,85,36,pattern,short_sleeve_outer,img85,2020-03-02 0:00
85,86,36,pattern,skirt,img86,2019-05-15 0:00
86,87,63,red,sling,img87,2018-08-13 0:00
87,88,46,black,long_sleeve_top,img88,2021-05-11 0:00
88,89,16,red,long_sleeve_dress,img89,2020-07-30 0:00
89,90,10,blue,trousers,img90,2021-12-09 0:00
90,91,10,black,long_sleeve_dress,img91,2020-11-25 0:00
91,92,72,black,long_sleeve_top,img92,2019-03-23 0:00
92,93,42,blue,vest,img93,2019-09-28 0:00
93,94,12,pattern,vest_dress,img94,2019-08-17 0:00
94,95,40,white,long_sleeve_top,img95,2021-10-13 0:00
95,96,25,white,sling_dress,img96,2019-10-25 0:00
96,97,62,blue,sling_dress,img97,2018-02-19 0:00
97,98,45,black,skirt,img98,2020-05-03 0:00
98,99,12,blue,skirt,img99,2019-03-10 0:00
99,100,9,blue,vest_dress,img100,2019-10-08 0:00
100,101,97,red,sling,img101,2020-04-12 0:00
101,102,37,black,long_sleeve_outer,img102,2019-12-24 0:00
102,103,70,white,vest,img103,2018-03-04 0:00
103,104,64,white,short_sleeve_dress,img104,2021-12-07 0:00
104,105,23,red,trousers,img105,2018-04-12 0:00
105,106,62,red,short_sleeve_outer,img106,2021-12-27 0:00
106,107,71,pattern,short_sleeve_top,img107,2019-04-18 0:00
107,108,29,white,vest,img108,2020-04-29 0:00
108,109,22,blue,short_sleeve_dress,img109,2021-04-20 0:00
109,110,28,pattern,vest,img110,2021-04-22 0:00
110,111,58,blue,long_sleeve_dress,img111,2018-09-30 0:00
111,112,37,blue,sling_dress,img112,2021-01-27 0:00
112,113,38,pattern,skirt,img113,2019-01-01 0:00
113,114,3,black,sling,img114,2018-08-21 0:00
114,115,97,pattern,long_sleeve_top,img115,2021-06-06 0:00
