ClothesCODE,color,category,img
CODE1,red,longShirts,img1
CODE2,red,shortPants,img2
CODE3,blue,skirt,img3
CODE4,red,jean,img4
CODE5,black,knit,img5
CODE6,yellow,slacks,img6
CODE7,red,shortShirts,img7
CODE8,red,longPants,img8
CODE9,blue,cotton,img9
CODE10,black,cotton,img10
CODE11,red,longShirts,img11
CODE12,blue,dressShirts,img12
CODE13,red,knit,img13
CODE14,white,jogger,img14
CODE15,black,longPants,img15
CODE16,yellow,longPants,img16
CODE17,black,jogger,img17
CODE18,yellow,dressShirts,img18
CODE19,red,sweatShirts,img19
CODE20,blue,cotton,img20
CODE21,white,shortShirts,img21
CODE22,blue,cotton,img22
CODE23,yellow,cotton,img23
CODE24,blue,slacks,img24
CODE25,white,knit,img25
CODE26,white,knit,img26
CODE27,red,knit,img27
CODE28,black,skirt,img28
CODE29,red,slacks,img29
CODE30,red,cotton,img30
CODE31,yellow,skirt,img31
CODE32,blue,cotton,img32
CODE33,red,skirt,img33
CODE34,black,knit,img34
CODE35,white,bottomEtc,img35
CODE36,black,bottomEtc,img36
CODE37,yellow,shortShirts,img37
CODE38,white,longShirts,img38
CODE39,yellow,sweatShirts,img39
CODE40,blue,hoodie,img40
CODE41,black,skirt,img41
CODE42,red,longPants,img42
CODE43,blue,skirt,img43
CODE44,blue,skirt,img44
CODE45,red,topEtc,img45
CODE46,blue,hoodie,img46
CODE47,black,shortShirts,img47
CODE48,red,longPants,img48
CODE49,white,dressShirts,img49
CODE50,black,dressShirts,img50
CODE51,yellow,cotton,img51
CODE52,red,jean,img52
CODE53,yellow,hoodie,img53
CODE54,white,bottomEtc,img54
CODE55,red,knit,img55
CODE56,red,topEtc,img56
CODE57,black,longShirts,img57
CODE58,yellow,jean,img58
CODE59,yellow,sweatShirts,img59
CODE60,yellow,knit,img60
CODE61,black,dressShirts,img61
CODE62,red,dressShirts,img62
CODE63,black,jogger,img63
CODE64,black,sweatShirts,img64
CODE65,red,shortPants,img65
CODE66,red,shortShirts,img66
CODE67,white,longPants,img67
CODE68,yellow,knit,img68
CODE69,yellow,jogger,img69
CODE70,black,shortShirts,img70
CODE71,black,longShirts,img71
CODE72,black,jogger,img72
CODE73,yellow,shortPants,img73
CODE74,red,jean,img74
CODE75,blue,longPants,img75
CODE76,blue,shortShirts,img76
CODE77,yellow,longPants,img77
CODE78,white,bottomEtc,img78
CODE79,white,jean,img79
CODE80,black,shortShirts,img80
CODE81,yellow,knit,img81
CODE82,black,skirt,img82
CODE83,white,topEtc,img83
CODE84,yellow,slacks,img84
CODE85,blue,slacks,img85
CODE86,white,jogger,img86
CODE87,black,sweatShirts,img87
CODE88,yellow,skirt,img88
CODE89,blue,jogger,img89
CODE90,red,bottomEtc,img90
CODE91,yellow,slacks,img91
CODE92,black,jean,img92
CODE93,white,shortShirts,img93
CODE94,red,jogger,img94
CODE95,blue,bottomEtc,img95
CODE96,blue,jogger,img96
CODE97,black,sweatShirts,img97
CODE98,black,topEtc,img98
CODE99,red,dressShirts,img99
CODE100,white,skirt,img100
