,CODE,ID,myColor,myCategory,myImg,BuyDate
0,my1,dummy61,black,bottomEtc,img1,2021-05-14
1,my2,dummy55,black,skirt,img2,2021-04-04
2,my3,dummy21,red,skirt,img3,2021-03-09
3,my4,dummy2,red,longPants,img4,2018-01-11
4,my5,dummy26,black,jean,img5,2018-08-17
5,my6,dummy46,blue,hoodie,img6,2020-11-30
6,my7,dummy86,black,skirt,img7,2020-06-22
7,my8,dummy40,red,bottomEtc,img8,2020-09-14
8,my9,dummy63,yellow,sweatShirts,img9,2021-01-09
9,my10,dummy51,red,cotton,img10,2018-01-30
10,my11,dummy93,blue,longPants,img11,2018-08-29
11,my12,dummy96,red,jean,img12,2020-05-16
12,my13,dummy5,black,cotton,img13,2019-06-25
13,my14,dummy36,red,sweatShirts,img14,2021-07-04
14,my15,dummy70,yellow,skirt,img15,2018-06-28
15,my16,dummy22,yellow,shortShirts,img16,2018-07-31
16,my17,dummy15,white,dressShirts,img17,2018-03-16
17,my18,dummy83,black,topEtc,img18,2018-12-30
18,my19,dummy13,black,shortShirts,img19,2018-04-14
19,my20,dummy32,black,longShirts,img20,2021-12-19
20,my21,dummy78,black,skirt,img21,2019-02-04
21,my22,dummy62,yellow,hoodie,img22,2020-01-24
22,my23,dummy5,blue,cotton,img23,2020-08-22
23,my24,dummy85,blue,slacks,img24,2019-01-28
24,my25,dummy77,black,shortShirts,img25,2020-08-06
25,my26,dummy75,black,jogger,img26,2018-03-03
26,my27,dummy54,red,topEtc,img27,2020-12-05
27,my28,dummy43,black,shortPants,img28,2021-08-08
28,my29,dummy43,red,jogger,img29,2019-01-16
29,my30,dummy98,red,bottomEtc,img30,2018-09-19
30,my31,dummy67,white,jean,img31,2019-04-23
31,my32,dummy79,white,cotton,img32,2021-12-13
32,my33,dummy67,blue,cotton,img33,2018-08-08
33,my34,dummy78,black,shortPants,img34,2021-02-20
34,my35,dummy95,black,shortPants,img35,2021-03-29
35,my36,dummy53,red,shortShirts,img36,2020-08-23
36,my37,dummy7,white,shortPants,img37,2019-07-04
37,my38,dummy90,black,hoodie,img38,2018-04-26
38,my39,dummy10,black,knit,img39,2020-06-04
39,my40,dummy60,white,slacks,img40,2020-12-09
40,my41,dummy79,yellow,dressShirts,img41,2021-11-28
41,my42,dummy25,white,hoodie,img42,2020-02-05
42,my43,dummy65,black,longPants,img43,2021-06-25
43,my44,dummy65,black,bottomEtc,img44,2021-02-11
44,my45,dummy42,white,sweatShirts,img45,2018-03-13
45,my46,dummy74,yellow,shortPants,img46,2020-07-06
46,my47,dummy80,red,topEtc,img47,2019-06-09
47,my48,dummy79,red,hoodie,img48,2019-10-21
48,my49,dummy42,blue,sweatShirts,img49,2019-04-17
49,my50,dummy74,black,dressShirts,img50,2020-09-09
50,my51,dummy70,white,jogger,img51,2021-07-02
51,my52,dummy47,blue,dressShirts,img52,2021-04-07
52,my53,dummy90,yellow,longPants,img53,2018-12-18
53,my54,dummy25,black,slacks,img54,2020-04-29
54,my55,dummy77,blue,knit,img55,2018-11-22
55,my56,dummy56,white,longShirts,img56,2018-05-29
56,my57,dummy30,yellow,longShirts,img57,2021-10-24
57,my58,dummy63,white,dressShirts,img58,2020-04-19
58,my59,dummy15,white,jogger,img59,2021-10-14
59,my60,dummy28,blue,shortPants,img60,2018-09-18
60,my61,dummy100,red,shortPants,img61,2018-05-31
61,my62,dummy4,blue,topEtc,img62,2020-07-17
62,my63,dummy78,white,bottomEtc,img63,2020-09-25
63,my64,dummy83,red,hoodie,img64,2018-11-01
64,my65,dummy91,yellow,skirt,img65,2021-07-17
65,my66,dummy90,black,hoodie,img66,2021-11-03
66,my67,dummy86,red,topEtc,img67,2020-02-12
67,my68,dummy14,yellow,longShirts,img68,2018-08-13
68,my69,dummy97,white,longPants,img69,2018-07-13
69,my70,dummy100,yellow,knit,img70,2020-06-22
70,my71,dummy74,blue,shortPants,img71,2018-05-21
71,my72,dummy24,black,jean,img72,2020-05-25
72,my73,dummy59,black,jogger,img73,2020-12-30
73,my74,dummy82,white,hoodie,img74,2021-04-04
74,my75,dummy79,black,hoodie,img75,2020-06-12
75,my76,dummy100,red,slacks,img76,2021-12-03
76,my77,dummy24,red,shortPants,img77,2019-01-18
77,my78,dummy60,blue,bottomEtc,img78,2018-04-16
78,my79,dummy28,blue,sweatShirts,img79,2019-02-10
79,my80,dummy74,yellow,cotton,img80,2018-03-28
80,my81,dummy84,red,jogger,img81,2021-04-23
81,my82,dummy80,yellow,topEtc,img82,2018-09-19
82,my83,dummy48,red,slacks,img83,2021-06-22
83,my84,dummy86,yellow,bottomEtc,img84,2020-12-31
84,my85,dummy37,red,longShirts,img85,2019-11-24
85,my86,dummy41,yellow,sweatShirts,img86,2019-04-28
86,my87,dummy47,yellow,longShirts,img87,2018-05-31
87,my88,dummy23,black,longShirts,img88,2018-04-03
88,my89,dummy74,white,hoodie,img89,2021-04-05
89,my90,dummy46,yellow,topEtc,img90,2018-06-09
90,my91,dummy67,black,cotton,img91,2020-05-07
91,my92,dummy11,blue,bottomEtc,img92,2019-06-29
92,my93,dummy64,red,shortShirts,img93,2020-09-06
93,my94,dummy95,white,dressShirts,img94,2018-09-25
94,my95,dummy59,yellow,cotton,img95,2021-06-19
95,my96,dummy53,black,jogger,img96,2021-07-02
96,my97,dummy78,blue,longPants,img97,2021-03-06
97,my98,dummy43,white,dressShirts,img98,2019-12-28
98,my99,dummy61,blue,hoodie,img99,2020-06-28
99,my100,dummy28,blue,hoodie,img100,2019-06-25
100,my101,dummy27,yellow,jogger,img101,2020-04-25
101,my102,dummy39,red,jogger,img102,2021-04-10
102,my103,dummy52,white,sweatShirts,img103,2018-02-03
103,my104,dummy37,blue,slacks,img104,2018-10-29
104,my105,dummy28,yellow,longPants,img105,2018-12-21
105,my106,dummy10,black,bottomEtc,img106,2018-11-22
106,my107,dummy81,blue,longPants,img107,2018-08-02
107,my108,dummy3,yellow,slacks,img108,2020-10-19
108,my109,dummy35,black,longPants,img109,2021-04-30
109,my110,dummy9,white,shortPants,img110,2020-06-20
110,my111,dummy27,black,bottomEtc,img111,2018-11-28
111,my112,dummy13,white,sweatShirts,img112,2021-12-19
112,my113,dummy85,black,knit,img113,2021-12-26
113,my114,dummy31,black,jean,img114,2019-02-27
114,my115,dummy4,yellow,skirt,img115,2021-08-24
115,my116,dummy54,white,jean,img116,2019-12-01
116,my117,dummy96,red,cotton,img117,2018-08-31
117,my118,dummy58,black,topEtc,img118,2018-11-12
118,my119,dummy86,blue,jean,img119,2020-10-17
119,my120,dummy33,red,cotton,img120,2018-12-17
120,my121,dummy42,yellow,shortPants,img121,2021-06-26
121,my122,dummy81,red,longShirts,img122,2019-01-29
122,my123,dummy41,blue,shortPants,img123,2021-01-04
123,my124,dummy5,black,topEtc,img124,2018-03-30
124,my125,dummy12,red,sweatShirts,img125,2019-06-17
125,my126,dummy100,white,cotton,img126,2021-01-10
126,my127,dummy93,black,hoodie,img127,2021-12-27
127,my128,dummy63,white,hoodie,img128,2020-09-28
128,my129,dummy43,blue,sweatShirts,img129,2020-05-09
129,my130,dummy94,yellow,skirt,img130,2021-08-28
130,my131,dummy78,white,longShirts,img131,2019-01-21
131,my132,dummy96,white,sweatShirts,img132,2019-02-06
132,my133,dummy46,blue,sweatShirts,img133,2021-04-18
133,my134,dummy22,yellow,topEtc,img134,2021-06-14
134,my135,dummy44,red,slacks,img135,2018-02-25
135,my136,dummy52,red,shortPants,img136,2020-09-06
136,my137,dummy35,yellow,jogger,img137,2020-10-12
