,todayid,id,today,weather,temp,dust
0,Today1,46,2022-06-08 04:00:00,rain,26.9,64.1
1,Today2,68,2022-06-10 15:00:00,cloud,22.0,50.8
2,Today3,36,2022-06-10 15:00:00,cloud,20.1,23.3
3,Today4,72,2022-06-08 22:00:00,rain,27.7,52.6
4,Today5,26,2022-06-11 17:00:00,sun,28.2,17.6
5,Today6,78,2022-06-08 13:00:00,rain,17.5,107.8
6,Today7,15,2022-06-08 00:00:00,sun,16.6,111.4
7,Today8,25,2022-06-11 22:00:00,fog,20.6,62.9
8,Today9,37,2022-06-11 08:00:00,rain,21.1,44.6
9,Today10,69,2022-06-10 14:00:00,cloud,24.0,118.9
10,Today11,39,2022-06-09 16:00:00,rain,26.1,37.3
11,Today12,82,2022-06-09 22:00:00,cloud,26.8,75.4
12,Today13,2,2022-06-10 21:00:00,fog,22.8,39.6
13,Today14,56,2022-06-09 08:00:00,fog,24.7,23.8
14,Today15,66,2022-06-08 03:00:00,sun,15.4,35.1
15,Today16,71,2022-06-09 20:00:00,sun,28.4,142.0
16,Today17,32,2022-06-12 00:00:00,cloud,23.3,138.6
17,Today18,81,2022-06-11 02:00:00,cloud,21.4,103.5
18,Today19,87,2022-06-08 15:00:00,sun,21.9,123.6
19,Today20,23,2022-06-08 23:00:00,rain,24.8,101.0
20,Today21,95,2022-06-10 23:00:00,rain,16.1,38.0
21,Today22,68,2022-06-11 06:00:00,sun,23.5,123.2
22,Today23,56,2022-06-10 13:00:00,cloud,21.4,53.4
23,Today24,85,2022-06-08 06:00:00,rain,17.7,70.1
24,Today25,62,2022-06-08 21:00:00,cloud,25.2,28.6
25,Today26,21,2022-06-08 19:00:00,fog,16.0,96.9
26,Today27,1,2022-06-11 02:00:00,rain,24.4,100.3
27,Today28,14,2022-06-10 12:00:00,fog,15.7,46.1
28,Today29,37,2022-06-10 06:00:00,cloud,20.1,117.9
29,Today30,94,2022-06-10 00:00:00,rain,23.0,52.2
30,Today31,92,2022-06-09 15:00:00,rain,24.5,85.5
31,Today32,76,2022-06-10 19:00:00,sun,24.3,54.4
32,Today33,70,2022-06-09 17:00:00,fog,25.0,6.1
33,Today34,100,2022-06-10 00:00:00,rain,22.7,148.4
34,Today35,17,2022-06-11 18:00:00,fog,16.3,67.2
35,Today36,13,2022-06-08 11:00:00,sun,18.6,66.1
36,Today37,31,2022-06-09 22:00:00,fog,25.9,6.4
37,Today38,14,2022-06-08 21:00:00,sun,26.7,89.6
38,Today39,82,2022-06-11 21:00:00,rain,20.6,131.4
39,Today40,56,2022-06-11 05:00:00,rain,18.8,91.0
40,Today41,31,2022-06-10 02:00:00,rain,27.6,132.6
41,Today42,89,2022-06-11 04:00:00,fog,29.8,138.5
42,Today43,38,2022-06-08 08:00:00,rain,21.9,41.5
43,Today44,1,2022-06-11 10:00:00,rain,21.5,81.2
44,Today45,47,2022-06-09 18:00:00,cloud,18.3,118.8
45,Today46,56,2022-06-10 20:00:00,fog,27.4,137.7
