,myclosetid,id,time,temp,hum,dust
0,1,86,2022-06-10 1:00,25.1,54.5,141.6
1,2,73,2022-06-09 0:00,25.7,63.5,105.8
2,3,59,2022-06-11 17:00,25,20.6,134.9
3,4,50,2022-06-10 18:00,16.3,49.3,142
4,5,36,2022-06-09 21:00,25.1,10.5,35
5,6,23,2022-06-08 3:00,15.2,63.1,45.3
6,7,83,2022-06-08 16:00,28,78.4,109.7
7,8,45,2022-06-08 1:00,24.5,37.2,32.5
8,9,58,2022-06-09 13:00,22.5,40.8,57.2
9,10,71,2022-06-09 14:00,16.1,41.1,25.1
10,11,65,2022-06-11 7:00,29.5,65.7,127.2
11,12,76,2022-06-08 9:00,19,50.1,15.3
12,13,21,2022-06-09 7:00,16.6,22,105.4
13,14,59,2022-06-11 8:00,24.3,70.2,10.7
14,15,18,2022-06-11 6:00,21.5,13.9,89.6
15,16,38,2022-06-11 4:00,18.7,28.9,104.2
16,17,12,2022-06-10 14:00,20.1,69,148.4
17,18,59,2022-06-10 0:00,28.7,54.2,104.3
18,19,56,2022-06-10 15:00,20.6,27.9,120.3
19,20,5,2022-06-10 3:00,23,35.2,86.8
20,21,29,2022-06-09 11:00,29.1,59.8,88.4
21,22,67,2022-06-10 9:00,19.4,56.4,129.6
22,23,35,2022-06-11 14:00,23.7,35,17.3
23,24,40,2022-06-10 3:00,17.8,48.5,34.5
24,25,79,2022-06-08 13:00,19.6,45.9,66.7
25,26,25,2022-06-11 1:00,20.6,65.1,70.7
26,27,72,2022-06-11 2:00,27.9,40.4,17.2
27,28,10,2022-06-10 2:00,26.5,10.2,83.1
28,29,17,2022-06-09 6:00,19.5,51.2,27
29,30,27,2022-06-11 7:00,17.6,30.3,34.5
30,31,71,2022-06-10 6:00,29.7,76.3,25.5
31,32,90,2022-06-08 2:00,19.3,76.7,128.1
32,33,94,2022-06-11 12:00,20.6,53.6,18.5
33,34,83,2022-06-11 4:00,23.8,31.4,149.9
34,35,83,2022-06-11 8:00,21.6,68.3,44.1
35,36,77,2022-06-11 15:00,26.2,48.6,120
36,37,21,2022-06-10 6:00,26,24.2,115.2
37,38,70,2022-06-08 13:00,19.4,31.4,136.2
38,39,79,2022-06-11 18:00,20.8,19,53
39,40,49,2022-06-09 18:00,24.9,79.9,87.1
40,41,26,2022-06-09 20:00,20,34.3,76.3
41,42,46,2022-06-11 4:00,26.5,70.3,88.6
42,43,67,2022-06-11 20:00,23.4,33.8,17
43,44,89,2022-06-08 22:00,26.9,65.9,144.9
44,45,58,2022-06-08 11:00,29,52,106.5
45,46,67,2022-06-09 11:00,16.4,50.9,36.1
46,47,18,2022-06-08 1:00,26.1,46.9,39.2
47,48,28,2022-06-08 2:00,21.6,52.2,78.3
48,49,54,2022-06-11 23:00,21.3,74.7,76.7
49,50,59,2022-06-11 19:00,25.7,63.3,135.1
50,51,24,2022-06-11 19:00,20.6,72.6,108.2
51,52,35,2022-06-09 16:00,24.8,61.9,118.8
52,53,79,2022-06-08 17:00,19.4,74.3,50.6
53,54,67,2022-06-10 5:00,19,13.8,66.7
54,55,6,2022-06-10 16:00,26.1,21.4,144.7
55,56,81,2022-06-11 9:00,26.3,40.7,139.7
56,57,86,2022-06-11 3:00,28.1,43.6,41.4
57,58,54,2022-06-11 22:00,19.1,32.7,85.7
58,59,100,2022-06-09 13:00,24.8,48.3,135.5
59,60,5,2022-06-11 18:00,23.8,40.4,60.6
60,61,16,2022-06-10 11:00,21.2,73.4,79.3
61,62,83,2022-06-11 8:00,19.6,47.3,121.5
62,63,84,2022-06-10 9:00,16.3,20.4,46.7
63,64,68,2022-06-11 6:00,19.7,34.6,0.6
64,65,98,2022-06-09 18:00,22.6,19.9,93.7
65,66,10,2022-06-11 11:00,18.5,38.7,113
66,67,83,2022-06-09 0:00,29.1,21.9,65
67,68,9,2022-06-11 5:00,23.9,61.3,31.6
68,69,84,2022-06-10 5:00,30,78,62.1
69,70,5,2022-06-11 16:00,21.3,13.3,34.6
70,71,82,2022-06-10 17:00,19.4,68.6,148.8
71,72,79,2022-06-11 15:00,26.6,14.6,43.3
72,73,89,2022-06-08 22:00,23.1,79.7,31.8
73,74,100,2022-06-11 21:00,18.2,16.2,31.3
74,75,65,2022-06-10 7:00,21.2,67.8,12.4
75,76,18,2022-06-10 1:00,24.1,32.2,149.3
76,77,72,2022-06-11 7:00,22.4,34.7,124
77,78,32,2022-06-09 20:00,23.6,23.2,43.1
78,79,31,2022-06-08 12:00,29.7,29.9,43.4
79,80,22,2022-06-09 14:00,25.4,46.8,58.6
80,81,81,2022-06-09 14:00,26.4,25.6,108.8
81,82,87,2022-06-10 10:00,17.9,56.7,128.3
82,83,71,2022-06-11 3:00,29,71.4,42.2
83,84,65,2022-06-10 16:00,15.9,11.4,58
84,85,13,2022-06-12 0:00,20,39.6,14.9
85,86,81,2022-06-08 3:00,17,24.6,138.9
86,87,68,2022-06-08 10:00,19.1,34.9,55.3
87,88,94,2022-06-08 17:00,27.9,13.4,64.6
88,89,53,2022-06-08 16:00,25.1,32,74.4
89,90,64,2022-06-08 2:00,21.6,13.8,109.6
90,91,14,2022-06-10 2:00,22.7,40.9,28.9
91,92,27,2022-06-10 17:00,27.2,42.7,97.5
92,93,35,2022-06-11 0:00,23.7,58.4,121.9
93,94,8,2022-06-09 5:00,29.9,22,143.4
94,95,86,2022-06-09 15:00,23.6,11.3,43.3
95,96,33,2022-06-08 19:00,27.7,11.3,55.1
96,97,50,2022-06-11 8:00,15.4,56.8,26.5
97,98,12,2022-06-11 17:00,20,31.8,86.4
98,99,22,2022-06-08 15:00,23.5,19.2,82.7
99,100,85,2022-06-10 4:00,19.4,78.9,16.2
100,101,13,2022-06-11 19:00,24,16.4,64.7
101,102,96,2022-06-10 13:00,19,74.6,74.2
102,103,92,2022-06-10 12:00,24.6,18.7,133.3
103,104,14,2022-06-09 11:00,21.1,39.6,128.2
104,105,86,2022-06-10 18:00,20.7,74.2,57.3
105,106,1,2022-06-09 14:00,17.7,30.3,43.5
106,107,97,2022-06-11 12:00,26.7,75.1,5.6
107,108,30,2022-06-09 19:00,25.5,36.8,100.9
108,109,9,2022-06-11 21:00,15.8,19,143.7
109,110,97,2022-06-09 11:00,26.5,30.5,27.2
110,111,41,2022-06-10 4:00,25.3,59.8,93.6
111,112,38,2022-06-08 21:00,16.2,76.6,87.5
112,113,44,2022-06-10 5:00,21.6,23.3,120.6
113,114,37,2022-06-10 23:00,26.3,57.2,51.4
114,115,83,2022-06-11 1:00,18.4,61.1,88.8
115,116,81,2022-06-08 11:00,27.6,54.2,9.5
116,117,54,2022-06-12 0:00,22.3,45.4,68
117,118,84,2022-06-08 1:00,24.1,21.5,118.5
118,119,10,2022-06-10 11:00,24.8,45.9,116.9
119,120,45,2022-06-10 19:00,15.2,42.3,72.8
120,121,34,2022-06-10 10:00,19,28.2,91
121,122,47,2022-06-08 23:00,29.3,39.9,129.9
122,123,34,2022-06-10 2:00,24.6,13.3,53.6
123,124,49,2022-06-11 0:00,18.6,66.3,54.7
124,125,24,2022-06-09 20:00,29.7,26.6,18.6
125,126,46,2022-06-09 13:00,16.1,46.3,110
126,127,10,2022-06-09 20:00,25.3,27.9,59.6
127,128,8,2022-06-09 3:00,23.3,48.2,18.7
128,129,92,2022-06-09 8:00,23.9,54.7,84.7
129,130,9,2022-06-10 4:00,16.7,27.9,72.6
130,131,45,2022-06-08 20:00,26,37.3,109.9
131,132,98,2022-06-10 16:00,23.7,40.4,70.4
132,133,37,2022-06-09 7:00,28.7,39.4,31.4
133,134,8,2022-06-11 7:00,25.2,47.7,78.3
134,135,57,2022-06-10 7:00,25,64.7,80.8
135,136,8,2022-06-09 8:00,23.2,44.4,103.2
136,137,9,2022-06-10 19:00,21.9,42.1,148.4
137,138,9,2022-06-09 23:00,29.1,14.7,47.2
138,139,17,2022-06-11 14:00,24.8,66.4,116.1
139,140,80,2022-06-10 12:00,20.1,57.1,43.1
140,141,31,2022-06-11 1:00,18.8,49.2,69.2
141,142,51,2022-06-08 23:00,29.2,11.9,107.7
142,143,49,2022-06-11 1:00,25.2,50.7,130.8
143,144,24,2022-06-08 13:00,15.3,54.8,139.7
144,145,67,2022-06-11 16:00,22.7,42.3,120.3
145,146,42,2022-06-08 16:00,21.9,38.7,64
146,147,86,2022-06-09 14:00,26.7,13.7,24.3
147,148,32,2022-06-09 3:00,23.4,48.7,82.8
148,149,8,2022-06-08 10:00,21.3,78.3,106.3
149,150,23,2022-06-10 1:00,27.5,14.6,103.1
150,151,8,2022-06-10 13:00,26.3,62.1,134.4
151,152,14,2022-06-09 2:00,21.3,38.4,129.3
152,153,90,2022-06-09 5:00,19.4,41.9,94.5
153,154,100,2022-06-08 13:00,23.1,17.2,76.4
154,155,65,2022-06-11 7:00,26.7,59.8,124.7
155,156,76,2022-06-09 9:00,28.1,66.2,0.1
156,157,71,2022-06-08 5:00,16.2,53.5,4.6
157,158,2,2022-06-10 5:00,23.5,41.9,21.5
158,159,46,2022-06-11 1:00,29.6,32.9,53.9
159,160,89,2022-06-09 17:00,28,76.8,100.9
160,161,9,2022-06-11 22:00,18,57.6,95.7
161,162,63,2022-06-10 17:00,19.5,74.8,63.5
162,163,1,2022-06-08 9:00,18.9,54.1,4
163,164,13,2022-06-08 11:00,19.5,59.2,26.2
164,165,17,2022-06-10 0:00,26.5,42,136.7
165,166,78,2022-06-09 14:00,25.8,73.4,25.6
166,167,98,2022-06-11 13:00,20.6,56.7,107.9
167,168,42,2022-06-08 19:00,16.6,60.2,93.7
168,169,90,2022-06-10 1:00,25.3,20.2,99.1
169,170,54,2022-06-10 21:00,28.3,46.5,127
170,171,22,2022-06-08 15:00,24.7,70.4,76.1
171,172,35,2022-06-10 12:00,18.2,20.5,0.9
172,173,52,2022-06-10 12:00,27.2,37.7,117.8
173,174,64,2022-06-10 4:00,19.5,77,87.3
174,175,76,2022-06-10 16:00,22,71.6,134.9
175,176,56,2022-06-11 8:00,24.6,11.6,20.7
176,177,62,2022-06-09 23:00,28.3,67.4,7.2
177,178,92,2022-06-11 23:00,16.8,51,127.2
178,179,88,2022-06-10 19:00,28.2,61.1,67.5
179,180,59,2022-06-10 13:00,27,19.4,22.3
180,181,69,2022-06-10 15:00,23.5,13.8,145.4
181,182,74,2022-06-09 1:00,27.6,61.7,75.3
182,183,63,2022-06-09 4:00,19.9,22.4,45.7
183,184,55,2022-06-10 15:00,17.5,51.8,45
184,185,34,2022-06-10 15:00,15,55.8,39.3
185,186,60,2022-06-11 23:00,29.9,43.4,118.9
186,187,70,2022-06-08 19:00,25.7,60.5,70.3
187,188,19,2022-06-11 4:00,23.5,63.7,76.6
188,189,80,2022-06-08 19:00,23.7,68.5,34.5
189,190,1,2022-06-09 4:00,18.8,40.6,52.8
190,191,49,2022-06-08 12:00,17.2,15.8,105.8
191,192,42,2022-06-08 22:00,29.2,31.5,77.7
192,193,71,2022-06-11 22:00,24.1,10.5,47.8
193,194,98,2022-06-11 4:00,23.5,55.4,19
194,195,65,2022-06-09 14:00,24.2,77.6,23.6
195,196,58,2022-06-08 8:00,19.3,35.3,148.9
